epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4612,1.03822,8.27826,0.7166,0.94701,1.81174,0.97235,1,0.98579,0.48372,0,0,0,0,2.36293,8.77917,0.814,0.88611,4.10816,0.0674967,0.000163333,0.000163333
2,58.2847,0.70144,7.09883,0.63863,0.52806,1.51064,0.96085,1,0.97658,0.59753,0,0,0,0,2.00614,8.75278,0.76695,1.86546,2.76767,0.03433,0.00032998,0.00032998
1,34.7548,1.03822,8.27826,0.7166,0.94701,1.81174,0.97235,1,0.98579,0.48372,0,0,0,0,2.36293,8.77917,0.814,0.88611,4.10816,0.0674967,0.000163333,0.000163333
2,76.4892,0.70131,7.10361,0.63978,0.53094,1.51251,0.94714,1,0.97526,0.69035,0,0,0,0,1.63802,8.92939,0.76157,1.84393,2.72532,0.0343299,0.000329919,0.000329919
3,106.874,0.70157,6.41098,0.60821,0.5371,1.49831,0.5264,0.97297,0.77138,0.4487,0.00118,0.02703,0.00071,7e-05,1.90955,7.40422,0.65012,1.37539,3.00996,0.00116285,0.000496182,0.000496182
4,142.375,0.65471,5.97351,0.59263,0.49136,1.45088,0.5571,0.91892,0.82152,0.42139,0.05637,0.24324,0.02272,0.00235,1.90217,6.28963,0.533,1.58153,3.1465,0.000498902,0.000498902,0.000498902
5,178.072,0.63931,5.81286,0.56323,0.49329,1.44805,0.68868,0.95673,0.83876,0.64413,0.33928,0.35135,0.21013,0.02756,1.35694,6.2093,0.56169,0.96727,2.19622,0.000498048,0.000498048,0.000498048
6,214.521,0.60017,5.32428,0.5518,0.46149,1.39982,0.97231,1,0.97737,0.84601,0.39439,0.40541,0.29335,0.0376,0.88268,5.20582,0.37281,0.74463,1.78377,0.000496953,0.000496953,0.000496953
7,267.403,0.60822,4.986,0.53123,0.46577,1.41316,0.96819,1,0.98316,0.71766,0.47145,0.48649,0.24607,0.03109,1.29365,5.1907,0.31852,0.78509,2.01865,0.000495616,0.000495616,0.000495616
8,295.316,0.58677,4.96496,0.51426,0.4644,1.39187,0.97167,1,0.98079,0.7685,0.28183,0.24324,0.16512,0.03641,0.99989,5.22578,0.29359,0.65079,1.98391,0.000494039,0.000494039,0.000494039
9,322.331,0.55872,4.51013,0.50285,0.44724,1.37626,0.97214,1,0.96882,0.90017,0.18395,0.18919,0.04214,0.00437,0.70219,5.62803,0.22741,0.62198,1.65872,0.000492224,0.000492224,0.000492224
10,349.374,0.54775,4.45222,0.48883,0.44702,1.3764,0.97216,1,0.97868,0.87311,0.73626,0.75676,0.62708,0.08391,0.71376,4.68792,0.22173,0.60259,1.59627,0.000490173,0.000490173,0.000490173
11,387.157,0.56339,4.31353,0.4899,0.42208,1.37925,0.97206,1,0.99079,0.84259,0.08475,0.27027,0.05673,0.01322,0.82066,5.80075,0.22587,0.62556,1.65845,0.000487886,0.000487886,0.000487886
12,417.615,0.56438,4.11493,0.46992,0.43261,1.36669,0.93138,1,0.98237,0.83476,0.72576,0.78378,0.63775,0.15314,0.75563,4.45401,0.28157,0.97623,1.7024,0.000485368,0.000485368,0.000485368
13,458.957,0.53553,4.06307,0.47563,0.43339,1.35242,0.97192,1,0.97316,0.86926,0.73585,0.75676,0.62176,0.12089,0.68825,4.6309,0.29783,0.62948,1.52858,0.00048262,0.00048262,0.00048262
14,486.351,0.5286,4.1781,0.44804,0.4107,1.32154,0.97229,1,0.97026,0.91068,0.34162,0.35135,0.14852,0.02604,0.62694,5.37287,0.16054,0.54179,1.54976,0.000479644,0.000479644,0.000479644
15,513.368,0.51567,4.00749,0.43684,0.39794,1.31824,0.97004,1,0.97737,0.8493,0.65533,0.67568,0.4968,0.07874,0.75589,4.81788,0.20619,0.60064,1.84166,0.000476445,0.000476445,0.000476445
16,544.101,0.5089,4.02901,0.43695,0.39004,1.31436,0.97226,1,0.97105,0.85431,0.78829,0.81081,0.66686,0.16806,0.7109,4.24023,0.32832,0.54457,1.60101,0.000473024,0.000473024,0.000473024
